iter	Passed	Remaining
418	2325	3225
419	2332	3220
420	2336	3213
421	2340	3206
422	2346	3201
423	2352	3195
424	2357	3189
425	2362	3183
426	2368	3177
427	2372	3171
428	2377	3164
429	2383	3159
430	2387	3152
431	2392	3145
432	2397	3139
433	2402	3132
434	2406	3125
435	2411	3119
436	2416	3113
437	2421	3106
438	2425	3099
439	2431	3094
440	2435	3087
441	2439	3080
442	2446	3075
443	2452	3070
444	2457	3064
445	2462	3059
446	2467	3052
447	2471	3045
448	2477	3039
449	2482	3033
450	2487	3027
451	2492	3021
452	2497	3016
453	2502	3009
454	2506	3002
455	2512	2997
456	2517	2990
457	2521	2983
458	2526	2978
459	2531	2971
460	2535	2964
461	2539	2957
462	2545	2952
463	2550	2946
464	2554	2939
465	2560	2934
466	2566	2929
467	2571	2922
468	2576	2916
469	2581	2911
470	2586	2904
471	2591	2898
472	2596	2892
473	2600	2885
474	2604	2878
475	2611	2874
476	2615	2867
477	2619	2860
478	2625	2856
479	2630	2850
480	2635	2843
481	2641	2838
482	2645	2832
483	2650	2825
484	2654	2818
485	2660	2813
486	2665	2808
487	2670	2802
488	2677	2797
489	2681	2791
490	2685	2784
491	2691	2778
492	2696	2772
493	2700	2766
494	2706	2761
495	2711	2755
496	2716	2748
497	2720	2742
498	2726	2737
499	2730	2730
500	2735	2724
501	2740	2718
502	2745	2712
503	2749	2706
504	2755	2701
505	2760	2695
506	2764	2688
507	2768	2681
508	2775	2677
509	2780	2671
510	2784	2664
511	2790	2659
512	2795	2653
513	2799	2646
514	2805	2642
515	2810	2636
516	2814	2629
517	2819	2623
518	2825	2618
519	2830	2612
520	2835	2607
521	2841	2602
522	2846	2595
523	2850	2589
524	2855	2583
525	2860	2577
526	2865	2572
527	2872	2567
528	2877	2562
529	2882	2556
530	2888	2550
531	2892	2544
532	2897	2538
533	2901	2532
534	2907	2527
535	2912	2521
536	2918	2516
537	2923	2510
538	2928	2504
539	2933	2499
540	2939	2494
541	2944	2487
542	2948	2481
543	2954	2476
544	2959	2470
545	2963	2464
546	2970	2459
547	2974	2453
548	2979	2447
549	2984	2441
550	2989	2436
551	2993	2429
552	2999	2424
553	3004	2418
554	3008	2412
555	3013	2406
556	3019	2401
557	3023	2395
558	3028	2388
559	3033	2383
560	3038	2377
561	3043	2371
562	3047	2365
563	3053	2360
564	3057	2354
565	3062	2348
566	3068	2343
567	3072	2337
568	3077	2330
569	3082	2325
570	3088	2320
571	3093	2314
572	3099	2309
573	3104	2303
574	3108	2297
575	3113	2291
576	3118	2286
577	3123	2280
578	3127	2274
579	3133	2269
580	3138	2263
581	3142	2257
582	3148	2252
583	3153	2246
584	3158	2240
585	3163	2234
586	3169	2229
587	3174	2224
588	3179	2218
589	3184	2213
590	3188	2206
591	3193	2200
592	3200	2196
593	3204	2190
594	3209	2184
595	3214	2178
596	3219	2173
597	3223	2166
598	3229	2161
599	3234	2156
600	3239	2150
601	3243	2144
602	3249	2139
603	3253	2133
604	3258	2127
605	3264	2122
606	3268	2116
607	3272	2110
608	3278	2104
609	3283	2099
610	3290	2094
611	3298	2091
612	3304	2086
613	3309	2080
614	3314	2075
615	3319	2069
616	3323	2063
617	3329	2058
618	3334	2052
619	3339	2046
620	3345	2041
621	3350	2036
622	3355	2030
623	3361	2025
624	3366	2019
625	3370	2013
626	3374	2007
627	3380	2002
628	3386	1997
629	3391	1991
630	3397	1986
631	3402	1981
632	3407	1975
633	3413	1970
634	3418	1965
635	3425	1960
636	3431	1955
637	3436	1949
638	3443	1945
639	3449	1940
640	3455	1935
641	3463	1931
642	3468	1925
643	3474	1920
644	3479	1915
645	3484	1909
646	3489	1903
647	3495	1898
648	3500	1892
649	3504	1887
650	3510	1881
651	3514	1875
652	3519	1870
653	3524	1864
654	3529	1859
655	3533	1853
656	3539	1847
657	3544	1842
658	3548	1836
659	3553	1830
660	3559	1825
661	3563	1819
662	3568	1813
663	3574	1808
664	3578	1802
665	3582	1796
666	3588	1791
667	3593	1786
668	3598	1780
669	3603	1774
670	3610	1770
671	3615	1764
672	3620	1758
673	3625	1753
674	3629	1747
675	3633	1741
676	3639	1736
677	3644	1730
678	3649	1725
679	3656	1720
680	3661	1715
681	3666	1709
682	3672	1704
683	3677	1699
684	3683	1693
685	3689	1688
686	3693	1682
687	3698	1677
688	3704	1672
689	3708	1666
690	3713	1660
691	3718	1655
692	3724	1650
693	3729	1644
694	3734	1638
695	3739	1633
696	3743	1627
697	3748	1621
698	3754	1616
699	3758	1610
700	3763	1605
701	3768	1599
702	3773	1594
703	3777	1588
704	3782	1582
705	3788	1577
706	3792	1571
707	3797	1566
708	3803	1561
709	3807	1555
710	3812	1549
711	3817	1544
712	3823	1539
713	3828	1533
714	3832	1527
715	3837	1522
716	3842	1516
717	3846	1510
718	3852	1505
719	3857	1500
720	3862	1494
721	3869	1489
722	3874	1484
723	3878	1478
724	3884	1473
725	3889	1467
726	3894	1462
727	3900	1457
728	3905	1451
729	3910	1446
730	3915	1441
731	3920	1435
732	3925	1429
733	3929	1423
734	3935	1418
735	3940	1413
736	3944	1407
737	3950	1402
738	3955	1396
739	3959	1391
740	3966	1386
741	3971	1380
742	3975	1375
743	3981	1370
744	3986	1364
745	3990	1358
746	3995	1353
747	4001	1348
748	4006	1342
749	4010	1336
750	4016	1331
751	4020	1326
752	4025	1320
753	4031	1315
754	4036	1309
755	4041	1304
756	4046	1298
757	4051	1293
758	4055	1287
759	4060	1282
760	4066	1277
761	4070	1271
762	4074	1265
763	4080	1260
764	4085	1255
765	4089	1249
766	4095	1244
767	4100	1238
768	4104	1233
769	4109	1227
770	4115	1222
771	4119	1216
772	4124	1211
773	4131	1206
774	4136	1200
775	4140	1195
776	4146	1190
777	4151	1184
778	4155	1178
779	4161	1173
780	4166	1168
781	4170	1162
782	4176	1157
783	4181	1152
784	4186	1146
785	4191	1141
786	4198	1136
787	4202	1130
788	4206	1125
789	4212	1119
790	4217	1114
791	4221	1108
792	4227	1103
793	4232	1098
794	4237	1092
795	4242	1087
796	4248	1082
797	4252	1076
798	4257	1070
799	4262	1065
800	4267	1060
801	4271	1054
802	4277	1049
803	4281	1043
804	4286	1038
805	4291	1033
806	4296	1027
807	4300	1022
808	4305	1016
809	4311	1011
810	4315	1005
811	4320	1000
812	4326	995
813	4331	989
814	4335	984
815	4341	978
816	4347	973
817	4351	968
818	4356	962
819	4361	957
820	4365	951
821	4370	946
822	4376	941
823	4380	935
824	4384	930
825	4390	924
826	4395	919
827	4400	914
828	4405	908
829	4410	903
830	4415	897
831	4419	892
832	4424	887
833	4429	881
834	4433	876
835	4438	870
836	4444	865
837	4448	859
838	4452	854
839	4459	849
840	4464	843
841	4468	838
842	4475	833
843	4480	828
844	4484	822
845	4491	817
846	4495	812
847	4499	806
848	4506	801
849	4511	796
850	4515	790
851	4521	785
852	4526	779
853	4530	774
854	4534	769
855	4540	763
856	4545	758
857	4549	752
858	4556	747
859	4560	742
860	4565	737
861	4571	731
862	4576	726
863	4580	721
864	4585	715
865	4591	710
866	4595	705
867	4599	699
868	4606	694
869	4610	688
870	4615	683
871	4620	678
872	4625	672
873	4630	667
874	4635	662
875	4641	656
876	4645	651
877	4650	646
878	4656	641
879	4661	635
880	4665	630
881	4672	625
882	4676	619
883	4680	614
884	4687	609
885	4692	603
886	4697	598
887	4705	593
888	4710	588
889	4715	582
890	4721	577
891	4726	572
892	4732	567
893	4738	561
894	4744	556
895	4750	551
896	4756	546
897	4762	540
898	4769	535
899	4775	530
900	4780	525
901	4787	520
902	4792	514
903	4798	509
904	4805	504
905	4810	499
906	4817	493
907	4823	488
908	4828	483
909	4835	478
910	4840	472
911	4846	467
912	4853	462
913	4858	457
914	4864	451
915	4871	446
916	4878	441
917	4885	436
918	4891	431
919	4900	426
920	4906	420
921	4913	415
922	4920	410
923	4926	405
924	4933	400
925	4939	394
926	4947	389
927	4953	384
928	4957	378
929	4964	373
930	4971	368
931	4976	363
932	4982	357
933	4987	352
934	4991	347
935	4997	341
936	5002	336
937	5006	330
938	5012	325
939	5017	320
940	5021	314
941	5026	309
942	5032	304
943	5036	298
944	5040	293
945	5046	288
946	5050	282
947	5055	277
948	5061	271
949	5066	266
950	5070	261
951	5074	255
952	5080	250
953	5085	245
954	5089	239
955	5095	234
956	5099	229
957	5104	223
958	5110	218
959	5115	213
960	5119	207
961	5125	202
962	5130	197
963	5134	191
964	5139	186
965	5145	181
966	5149	175
967	5154	170
968	5159	165
969	5164	159
970	5168	154
971	5174	149
972	5180	143
973	5185	138
974	5191	133
975	5195	127
976	5200	122
977	5205	117
978	5210	111
979	5215	106
980	5220	101
981	5227	95
982	5233	90
983	5238	85
984	5245	79
985	5249	74
986	5255	69
987	5261	63
988	5266	58
989	5272	53
990	5279	47
991	5283	42
992	5291	37
993	5297	31
994	5303	26
995	5310	21
996	5315	15
997	5322	10
998	5327	5
999	5332	0
