iter	MultiClass
136	0.1293008347
137	0.1288123796
138	0.1282133602
139	0.1277685081
140	0.1271775549
141	0.1267547846
142	0.1262980757
143	0.126060444
144	0.1256872417
145	0.1253939953
146	0.1246812213
147	0.1244258656
148	0.1239623992
149	0.1238136788
150	0.1233870616
151	0.1230973554
152	0.1229536039
153	0.1225203477
154	0.1221960772
155	0.1218817728
156	0.1213136183
157	0.1210082302
158	0.1206657012
159	0.1201214718
160	0.1197565225
161	0.1194415453
162	0.1190230923
163	0.1186139345
164	0.1184040561
165	0.1180852253
166	0.117683423
167	0.1171891967
168	0.1168874729
169	0.1164008211
170	0.1161480602
171	0.1159006172
172	0.1153956287
173	0.1151252827
174	0.1148205779
175	0.1146128427
176	0.1142452562
177	0.114154014
178	0.1135641878
179	0.1131312915
180	0.1127179541
181	0.1125290446
182	0.1123558296
183	0.11216849
184	0.1117397321
185	0.1115941218
186	0.1112251953
187	0.1110818359
188	0.1108996331
189	0.1106245269
190	0.1102144136
191	0.1097663315
192	0.1096082435
193	0.109414922
194	0.1090807327
195	0.108913399
196	0.1087495768
197	0.1085180308
198	0.108323945
199	0.1081166032
200	0.1078770423
201	0.1076900154
202	0.1075812777
203	0.1073866907
204	0.1071905069
205	0.1070150298
206	0.1066290762
207	0.1062411735
208	0.1059878335
209	0.1057940758
210	0.1056938358
211	0.1056173456
212	0.1054738428
213	0.1053390537
214	0.1051883852
215	0.1050049701
216	0.1048244174
217	0.1045031309
218	0.1043993762
219	0.1041959623
220	0.1039139576
221	0.103597251
222	0.1034102905
223	0.1032641746
224	0.1031041316
225	0.1029852151
226	0.1027151175
227	0.102638063
228	0.1024212171
229	0.1022180112
230	0.101970574
231	0.1016295818
232	0.101282277
233	0.101171758
234	0.1010283896
235	0.1009021991
236	0.100700308
237	0.1005662755
238	0.1003844271
239	0.1002603707
240	0.1000972354
241	0.09997088729
242	0.09982580075
243	0.09965654774
244	0.09920147347
245	0.09906912737
246	0.09881782182
247	0.09849543108
248	0.09837010868
249	0.09815778005
250	0.09807937019
251	0.09766433651
252	0.09749885182
253	0.09715596592
254	0.09699954979
255	0.0969119506
256	0.09674311991
257	0.09633950082
258	0.09621850395
259	0.09611252462
260	0.09589453464
261	0.09578122983
262	0.09569181623
263	0.09545967075
264	0.09535361936
265	0.09523803658
266	0.09502118513
267	0.09488477752
268	0.09460802183
269	0.09453299152
270	0.09439844412
271	0.09425021318
272	0.09415982661
273	0.09396095954
274	0.09386540517
275	0.09357698782
276	0.09348448425
277	0.09326091789
278	0.09313436768
279	0.09301168628
280	0.09293309784
281	0.09281658519
282	0.09268476645
283	0.09249417812
284	0.09216903852
285	0.09205645278
286	0.09199647833
287	0.09178096144
288	0.09162702569
289	0.09149590508
290	0.09142476179
291	0.09131715062
292	0.091188107
293	0.09100599423
294	0.09088155938
295	0.09074910257
296	0.09063428058
297	0.09038667521
298	0.09022558045
299	0.09006744684
300	0.08992436312
301	0.08982989903
302	0.08963564817
303	0.08948399503
304	0.089372
305	0.08921199632
306	0.08911432522
307	0.08894123948
308	0.0888331606
309	0.08873332633
310	0.08869050097
311	0.08858239665
312	0.08846216531
313	0.08833761961
314	0.08824293319
315	0.08814614614
316	0.08802480242
317	0.08770818567
318	0.08762345875
319	0.08750573825
320	0.08728299675
321	0.08703928465
322	0.08699094922
323	0.08667693817
324	0.08660360086
325	0.08640267216
326	0.08622465968
327	0.08600004273
328	0.08589486299
329	0.08578311971
330	0.08572445972
331	0.08561245659
332	0.08551506498
333	0.0853925203
334	0.0853112883
335	0.08516192637
336	0.08504201159
337	0.08492394032
338	0.08483712442
339	0.08467125544
340	0.08456308775
341	0.08451679817
342	0.08442228038
343	0.08431943586
344	0.08407943906
345	0.0840084825
346	0.0838043167
347	0.08370274645
348	0.08356782913
349	0.08341450335
350	0.08328487962
351	0.08317757474
352	0.08309197562
353	0.08297760027
354	0.08283989855
355	0.08273819468
356	0.08258760535
357	0.08245491843
358	0.08239810543
359	0.08229766656
360	0.0821894994
361	0.08210552175
362	0.0820213657
363	0.08195266694
364	0.0818821024
365	0.08176432975
366	0.0816760618
367	0.08158431977
368	0.08141798788
369	0.08129263588
370	0.08120166685
371	0.08100818342
372	0.08093028298
373	0.08085795313
374	0.08076472872
375	0.08067835883
376	0.0806089906
377	0.08044198488
378	0.08034518068
379	0.08025656486
380	0.0801656555
381	0.08008633506
382	0.07997711504
383	0.07988971025
384	0.07976307829
385	0.07957269595
386	0.07949149358
387	0.07938403069
388	0.07927472498
389	0.07923724563
390	0.0791449306
391	0.07902357437
392	0.07895656541
393	0.07885890585
394	0.07875610234
395	0.07860193304
396	0.07854984207
397	0.07846648235
398	0.07831452512
399	0.07823724615
400	0.07818669029
401	0.07810162402
402	0.07800027503
403	0.07791746828
404	0.07786418581
405	0.07777559776
406	0.0777298455
407	0.07766287493
408	0.07756758277
409	0.0775058086
410	0.07739160216
411	0.07727715867
412	0.07717114922
413	0.07707101041
414	0.07701396938
415	0.07694415549
416	0.07689682843
417	0.07682650828
418	0.07673119592
419	0.07663153258
420	0.07653690989
421	0.07651152337
422	0.07640629125
423	0.07629952322
424	0.07622677768
425	0.07619041311
426	0.07612463063
427	0.07603970051
428	0.0759819778
429	0.07589346739
430	0.07584787533
431	0.07570612556
432	0.07567374766
433	0.07555682007
434	0.07537519988
435	0.07527005554
436	0.07508865954
437	0.07500913542
438	0.07492952906
439	0.07485119816
440	0.07477190367
441	0.0746917717
442	0.0745908264
443	0.07453837762
444	0.07443880456
445	0.07434824202
446	0.0742979888
447	0.07426211574
448	0.07414219655
449	0.07404989375
450	0.07395626841
451	0.07381543942
452	0.07372502878
453	0.073667885
454	0.07358803508
455	0.07349718143
456	0.07343014329
457	0.07334930078
458	0.07331272977
459	0.07324829623
460	0.07321791719
461	0.07313983774
462	0.07310575427
463	0.07307504533
464	0.07293818617
465	0.07288544121
466	0.07281744263
467	0.07267772211
468	0.07262957238
469	0.07254581199
470	0.07234805716
471	0.07224945245
472	0.07212840375
473	0.07207820966
474	0.07199783015
475	0.07194556488
476	0.07189211382
477	0.07177699446
478	0.07174382693
479	0.07153239317
480	0.07138282183
481	0.07129803598
482	0.07119028861
483	0.07109792387
484	0.07098240967
485	0.07091274732
486	0.0708787357
487	0.07084394683
488	0.07076013792
489	0.07068724143
490	0.07060231372
491	0.07057050264
492	0.07049755578
493	0.07040908176
494	0.07032072423
495	0.0702873875
496	0.07015570967
497	0.07006189447
498	0.07000052619
499	0.06990577689
500	0.0698807655
501	0.06983045097
502	0.06968836734
503	0.06953934876
504	0.06945176976
505	0.06933872819
506	0.0692842735
507	0.06924295674
508	0.06918040278
509	0.06913350237
510	0.06903587576
511	0.06894373079
512	0.0688396751
513	0.0687593679
514	0.06867720423
515	0.06862700366
516	0.06856167692
517	0.06845517525
518	0.06840314731
519	0.0683356084
520	0.06822230372
521	0.06812077922
522	0.06808460899
523	0.06801491053
524	0.06797953817
525	0.06782218033
526	0.06773263339
527	0.06767404539
528	0.06763418544
529	0.06756223738
530	0.06753679055
531	0.06747596504
532	0.06742356972
533	0.06729644904
534	0.06718844176
535	0.06715043135
536	0.06707233348
537	0.06698085952
538	0.0669223584
539	0.06678887363
540	0.06670137531
541	0.06667502644
542	0.0665531881
543	0.06650429498
544	0.06644298309
545	0.06637472251
546	0.06630758983
547	0.06627456326
548	0.06618757968
549	0.06612532453
550	0.0660680171
551	0.06599291383
552	0.06593540798
553	0.06585587971
554	0.06577367732
555	0.06573359595
556	0.06564082024
557	0.06555040799
558	0.06539761623
559	0.06532995286
560	0.06526658285
561	0.06520457152
562	0.06516676975
563	0.06507808339
564	0.06502238547
565	0.06499282762
566	0.06494668059
567	0.06489271125
568	0.06484957853
569	0.06473491873
570	0.06464644851
571	0.0646178579
572	0.06459150945
573	0.06456198935
574	0.0645245415
575	0.06446638592
576	0.06443280184
577	0.06432060871
578	0.06422642905
579	0.06417216994
580	0.06409503941
581	0.06403462277
582	0.06398310579
583	0.06391610572
584	0.0638017743
585	0.06374541392
586	0.06369108318
587	0.06360626009
588	0.06354065859
589	0.06343924147
590	0.06338971785
591	0.06333065123
592	0.06327887643
593	0.06321763442
594	0.06313094062
595	0.06307207989
596	0.06302298416
597	0.06297457219
598	0.06288912253
599	0.06273004059
600	0.06267776063
601	0.06264755571
602	0.06256419765
603	0.06254226916
604	0.06240705189
605	0.06236075698
606	0.06226007501
607	0.06222393008
608	0.06213317752
609	0.0620823037
610	0.06200362802
611	0.06193801713
612	0.0618627002
613	0.06181745655
614	0.06178002198
615	0.06174099469
616	0.06169281582
617	0.06164986205
618	0.06157545734
619	0.06150933518
620	0.06137706232
621	0.06130214636
622	0.06124931077
623	0.06119197821
624	0.06112632935
625	0.06107353321
626	0.06101172459
627	0.06098769677
628	0.06094072329
629	0.06090144145
630	0.06087125331
631	0.06081124783
632	0.06073045613
633	0.06066580569
634	0.06062990242
635	0.06052580014
636	0.06047176688
637	0.06034709862
638	0.06031275918
639	0.06026920525
640	0.06021673277
641	0.0601866168
642	0.06015758171
643	0.06012963576
644	0.06006845667
645	0.05999205486
646	0.0599487665
647	0.05991679765
648	0.0598449606
649	0.05980992862
650	0.05976957844
651	0.05968192969
652	0.05961708749
653	0.05959299555
654	0.05951573813
655	0.05946760915
656	0.05945231459
657	0.05932961459
658	0.05929237806
659	0.05923003179
660	0.05917928371
661	0.05913727941
662	0.0590828991
663	0.05901579715
664	0.05898541944
665	0.05895685321
666	0.05892577587
667	0.05886771108
668	0.05881821573
669	0.05878618004
670	0.05873456691
671	0.05870023595
672	0.05864018702
673	0.05854317557
674	0.05850090185
675	0.05844257864
676	0.05839952479
677	0.05836674357
678	0.05832869395
679	0.05826861439
680	0.05822311391
681	0.05814949096
682	0.05810907674
683	0.05807144799
684	0.05801894315
685	0.05798251965
686	0.0579549886
687	0.05791187683
688	0.05783843772
689	0.05779484063
690	0.05773864403
691	0.05767926757
692	0.05760128306
693	0.05757313429
694	0.05752600551
695	0.05745570649
696	0.0573845444
697	0.05734356878
698	0.05731076079
699	0.05724293369
700	0.0572021688
701	0.05714205991
702	0.05705481559
703	0.05701866856
704	0.05696190467
705	0.05690184114
706	0.05684916825
707	0.0567894021
708	0.05674558327
709	0.05670242392
710	0.05666367384
711	0.05660823746
712	0.05653940346
713	0.05651531927
714	0.05648637226
715	0.05643308259
716	0.05640718636
717	0.05636794751
718	0.05631100343
719	0.05627512839
720	0.05620798978
721	0.05608607325
722	0.05603032559
723	0.05599474855
724	0.05593017887
725	0.05587910188
726	0.05583022489
727	0.05580246546
728	0.05577368745
729	0.05571633138
730	0.05561452444
731	0.05556871368
732	0.05552421008
733	0.0554895846
734	0.05544596135
735	0.05543717947
736	0.05539257328
737	0.05535037587
738	0.05529130508
739	0.05525851446
740	0.05518983051
741	0.05513908257
742	0.05510347359
743	0.05507819393
744	0.05503842667
745	0.05498049813
746	0.05492930874
747	0.05486898565
748	0.05481798591
749	0.05478257433
750	0.05476314325
751	0.05474437276
752	0.05472936268
753	0.05466783048
754	0.05461335019
755	0.05452704233
756	0.05448894915
757	0.0544306409
758	0.05435302744
759	0.05432302515
760	0.05428758049
761	0.05422110938
762	0.05419662991
763	0.05417219148
764	0.05414722172
765	0.05406669208
766	0.05402770898
767	0.0539727026
768	0.05392240322
769	0.05389864383
770	0.0538686298
771	0.05382133614
772	0.05374077836
773	0.05367463164
774	0.05362514944
775	0.05358795171
776	0.05354160768
777	0.05345600279
778	0.05343206373
779	0.05338626119
780	0.05333514696
781	0.05329609406
782	0.05324461058
783	0.05322496975
784	0.05319222702
785	0.05314684102
786	0.0530908513
787	0.05307471384
788	0.05301702333
789	0.05295254464
790	0.05292696639
791	0.05284883706
792	0.05278974324
793	0.05274158095
794	0.05272791971
795	0.05266500543
796	0.05263455584
797	0.05259165459
798	0.05253822092
799	0.05249879697
800	0.05243995925
801	0.0524094684
802	0.05236835936
803	0.05234237837
804	0.05229857337
805	0.05223487925
806	0.0521878484
807	0.05213393103
808	0.05207359356
809	0.05205267267
810	0.05201158368
811	0.05195806871
812	0.05187152105
813	0.05184288685
814	0.05181292962
815	0.05177638518
816	0.05173178252
817	0.05166190205
818	0.05162408465
819	0.0515986999
820	0.05152552309
821	0.05149640292
822	0.05145198396
823	0.05142938818
824	0.0513819694
825	0.05133012872
826	0.05128304535
827	0.05122895915
828	0.05119672675
829	0.05113977741
830	0.0510584768
831	0.05100336996
832	0.05097862877
833	0.05094980026
834	0.05082666437
835	0.05078666404
836	0.05074839448
837	0.05072364935
838	0.05067130926
839	0.05064231933
840	0.05059872845
841	0.05056780737
842	0.05050150399
843	0.05048680416
844	0.05044264992
845	0.05039106298
846	0.05035902039
847	0.05033137219
848	0.05029480874
849	0.05026224811
850	0.05017643658
851	0.05014609483
852	0.05010251833
853	0.05006646563
854	0.05003149784
855	0.04996211847
856	0.04992648532
857	0.04988659464
858	0.04983348066
859	0.04980349536
860	0.04972575663
861	0.04969071314
862	0.04965995723
863	0.04961824168
864	0.04958785654
865	0.0495272815
866	0.04948971604
867	0.04943274943
868	0.04939048701
869	0.04935168658
870	0.04926616428
871	0.04921424075
872	0.04917125643
873	0.04911318717
874	0.04908280328
875	0.04905681942
876	0.04901175247
877	0.04898975645
878	0.04893703089
879	0.04890653689
880	0.04886795515
881	0.04884055294
882	0.04881261838
883	0.04875751042
884	0.04872037341
885	0.04866553403
886	0.04861789304
887	0.04858548785
888	0.04855063708
889	0.04852133108
890	0.04846564306
891	0.04841942074
892	0.048373488
893	0.04835405302
894	0.04831480957
895	0.04828480446
896	0.04823784737
897	0.04821726547
898	0.04815818305
899	0.04812304354
900	0.04809616442
901	0.04805553922
902	0.04802821954
903	0.04799891901
904	0.04798217887
905	0.04794918817
906	0.04790086179
907	0.04787740439
908	0.0478560259
909	0.04782896444
910	0.04779765607
911	0.04778244963
912	0.04770765639
913	0.0476817421
914	0.04763228376
915	0.04758858768
916	0.04757092993
917	0.04755281995
918	0.04750509105
919	0.04746032705
920	0.04742841311
921	0.04733504642
922	0.04729437522
923	0.04726102333
924	0.0472207225
925	0.04718603175
926	0.04714451819
927	0.04712152659
928	0.04706785361
929	0.04705962696
930	0.04703108949
931	0.04699983821
932	0.04697902191
933	0.04695116514
934	0.04692443446
935	0.0468822132
936	0.04683721237
937	0.04678947835
938	0.04675884525
939	0.04673095173
940	0.04668073419
941	0.04664879765
942	0.04660134035
943	0.04654556045
944	0.04648670787
945	0.04645328004
946	0.04642167017
947	0.04638632245
948	0.04636113579
949	0.0463263664
950	0.04630273948
951	0.04627953984
952	0.04624393943
953	0.04617955943
954	0.04615847378
955	0.04614219549
956	0.04611232661
957	0.04607645859
958	0.04602214939
959	0.04600115237
960	0.04596336238
961	0.04594615541
962	0.04592290996
963	0.04588819003
964	0.04584857903
965	0.04582827128
966	0.04579530671
967	0.04575752362
968	0.04572386499
969	0.04569579757
970	0.04566633692
971	0.04564521022
972	0.04561484833
973	0.04559201264
974	0.04556999861
975	0.04552659874
976	0.04550451531
977	0.04547553622
978	0.04545157978
979	0.04541325086
980	0.04536237704
981	0.04531410002
982	0.04529285862
983	0.04526326129
984	0.04523938365
985	0.04520511456
986	0.0451731034
987	0.04514547743
988	0.04510439312
989	0.04503652558
990	0.04496718136
991	0.04494408142
992	0.04492714511
993	0.04489186988
994	0.04482409506
995	0.04478360452
996	0.04475916906
997	0.04474276347
998	0.04472866777
999	0.04466419553
